Link to HLAS catalog,author,Author city of origin,English title,translator name,city where book was published,publisher,year published,translation annotations
https://lccn.loc.gov/bi89008040,"Lispector, Clarice ",Chechelnik,The hour of the star ,Giovanni Pontiero,Manchester ,Carcanet Press ,1986,"Lispector's artful and self-reflexive 1977 novel, the first of her works to tackle what she called the ""social problem"" - in this case the spiritually and materially impoverished existence of Macabea, a poor girl from the Northeast. Well translated, with occasional over-interpreting in the treatment of Lispector's poetic and intentionally hermetic language. [DP]"
https://lccn.loc.gov/bi89008041,"Luft, Lya Fett ",Río Grande del Sur,The island of the dead ,Carmen Chaves McClendon and Betty Jean Craige,Athens ,Univ. of Georgia Press ,1986,"Translators explain well the challenge presented by Luft's {lcub}O quarto fechado{rcub} and the decision to preserve its ""strangeness."" Their version may not be wholly satisfying, but it does enable the reader to glimpse Luft's ""closed room"" and to appreciate what Naomi Lindstrom has referred to as her ""skilled mobilization of conventions."""
https://lccn.loc.gov/bi89008047,"Scliar, Moacyr ",Río Grande del Sur,The gods of Raquel ,Eloah F. Giacomelli,New York,Ballantine Books ,1986,"Vivid, sensitive version of Scliar's modern-day parable of divinity and humanity. Giacomelli's translation, which includes some minor smoothing of Scliar's staccato pen-strokes, credibly integrates the ritual cadences of the voice of Jehovah with the forthright language of the tormented protagonist's point of view. [LC]"
https://lccn.loc.gov/bi89008051,"Souza, Márcio ",Manaos,The order of the day:an unidentified flying opus ,Thomas Colchie,New York,Avon Books ,1986,"Colchie's third translation of Souza's fiction is a tour de force. Respecting the author's surrealistic depiction of contemporary Brazil, Colchie adroitly and imaginatively meets the challenge of the novel's hybrid content, form, and language, a mixture which includes political reportage, science fiction, urban counter-culture vernacular, and Amazonian river speech. [CC]"
https://lccn.loc.gov/bi89008030,"Telles, Lygia Fagundes ",São Paulo,The marble dance ,Margaret A. Neves,New York,Avon Books ,1986,"First novel (1954) by one of Brazil's foremost ""intimist"" women writers conveys themes of later works. Constrained by a haunting past and a hypocritical present, the impressionable heroine seeks to enter a ""social circle"" symbolized by flawed marble statues, but also to escape its confinements. Occasional awkwardness; but good, intutitive translation. [NHV]"
https://lccn.loc.gov/bi89008042,"Olinto, Antônio ",Minas Gerais,The king of Ketu ,Richard Chappell,London,R. Collings ,1987,"Second novel of African trilogy to appear in English. In the narrative, Chappell eloquently renders the stately and celebratory character of Olinto's homage to Yoruba culture in Benin. Dialogues, however, are somewhat flat and stilted, missing the richness and diversity of Yoruba speech. Glossary of Yoruba words and Carybé's illustrations would have helped. [CC]"
https://lccn.loc.gov/bi88000266,"Rey, Marcos ",São Paulo,Memoirs of a gigolo ,Clifford E. Landers,New York,Avon Books ,1987,"Describes the adventures of Mariano who drifts through São Paulo in search of easy money and his true love, Lupe, and is menaced by his arch-rival Esmeraldo. Landers' translation conveys precisely the special brand of ironic humor that pervades the novel. [GFD]"
https://lccn.loc.gov/bi92013161,"Scliar, Moacyr ",Río Grande del Sur,The strange nation of Rafael Mendes ,Eloah F. Giacomelli,New York,Harmony Books ,1987,"Panoramic family saga of New Christians past and present, set during one catastrophic day in the life of a Brazilian businessman. The translation is very readable, though on occasion it takes excessive liberties in its recourse to idiomatic expressions not in the Portuguese."
https://lccn.loc.gov/bi86106544,"Amado, Jorge ",Bahía,Jubiabá ,Margaret A. Neves,New York,Avon Books ,1984,"Jubiabá, Jorge Amado's fourth novel (1935), focuses on Bahia's slum, Capa-Negra, and on the ""marginalized"" life of the black, lower classes. The protagonist, Antônio Balduíno, begins as a young street waif and, gaining a political consciousness through his contact with a candomblé priest, Jubiabá, ends up as leader of a labor strike. Political didacticism coupled with a romantic portrayal of slum life. The language is stitled at times."
https://lccn.loc.gov/bi86106545,"Amado, Jorge ",Bahía,"Pen, sword, camisole:a fable to kindle a hope: a novel ",Helen Lane,Boston,D.R. Godine,1985,"Described battle between poetry and the military in pro-Nazi Brazil of the 1940s. The New Yorker qualified the translation as ""verbose,"" but this may very well be the original's problem. Minor work."
https://lccn.loc.gov/bi92013143,"Amado, Jorge ",Bahía,Captains of the sands ,Gregory Rabassa,New York,Avon Books ,1988,"Sixth of Amado's early series, ""The Bahian Novels."" Originally published in 1937, this story of abandoned children in Salvador owes its belated appearance in English to Bantam's 1988 publicity effort on behalf of {Showdown.} Translation displays Rabassa's usual skill and fluency, but also the carelessness that at times mars his work."
https://lccn.loc.gov/bi92013145,"Amado, Jorge ",Bahía,Show down ,Gregory Rabassa,Toronto,Bantam Books ,1988,"Although very readable, this translation of Amado's 1984 novel (derivative of his own earlier works, especially {lcub}Gabriela{rcub}) is uneven and at times careless. Most startling, however, is the discovery that this is, unannounced, an edited and abriged version, with perhaps 20 percent (i.e., phrases, sentences, paragraphs) of the original omitted, as if Amado's prolix style were excessive for an American audience."
https://lccn.loc.gov/bi92013148,"Anjos, Cyro dos ",Minas Gerais,Diary of a civil servant ,Arthur Brakel,Rutherford,Fairleigh Dickinson Univ. Press;;Associated University Presses ,1988,"Elegantly written philosophical novel, originally published in 1937, is finally available in English thanks to Brakel, whose translation is eloquent, faithful and fluent, capturing the tone and diction of the original. Brakel's solid introduction sets the novel in its historical and literary context. With translator's notes."
https://lccn.loc.gov/bi92013153,"Dourado, Autran ",Minas Gerais,The bells of agony ,John M. Parker,London,P. Owen;; Dufour Editions ,1988,"First published in 1974, this historical novel of Vila Rica in the 18th century is structured like a classical tragedy but also has contemporary political relevance, as the translator explains in a short and helpful introduction. Faithful and fluent translation effectively captures the heavy, even oppressive quality of the original."
https://lccn.loc.gov/bi92013162,"Scliar, Moacyr ",Río Grande del Sur,The volunteers ,Eloah F. Giacomelli,New York,Available Press ,1988,"Scliar's lyrical 1979 tale of Christians, Jews, and Arabs, and of the events leading to an ill-fated voyage from Porto Alegre to Haifa in search of the lost Jerusalem. Reads well but with occasional awkwardness and repetition in the English, and, more mysteriously, omits most but not all chapters' epigraphs from Camões."
https://lccn.loc.gov/bi92013152,"Cunha, Helena Parente ",Bahía,Woman between mirrors ,Fred P. Ellison and Naomi Lindstrom,Austin,University of Texas Press ,1989,"Claiming the introspective, consciousness-exploring Lispectorian mantle, Cunha contributes to the growing body of women's fiction with this challenging and complex novel (her first, originally published in 1983) of alienation and self-discovery. The translation, preceded by a good introduction, is competent but uneven, at times lapsing into an inappropriate register."
https://lccn.loc.gov/bi92013157,"Lispector, Clarice ",Chechelnik,The stream of life ,Elizabeth Lowe and Earl E. Fitz,Minneapolis ,Univ. of Minnesota Press ,1989,"With a foreword one-third the length of the work, Cixous threatens to bury this fluent and readable translation of Lispector's 1973 meditation (some of which also appears, in slightly altered form, in her later {Soulstorm}). This is Lispector as a virtual caricature of herself, and will please only dedicated fans."
https://lccn.loc.gov/bi92013158,"Piñon, Nélida ",Río de Janeiro,The republic of dreams:a novel ,Helen Lane,New York,Knopf ,1989,"Intriguing family saga about Spain and Brazil, and the writing of fiction and history, originally published in 1984. The translation is generally faithful and reads extremely well, but some inexplicable decisions have been made by the translator and there is occasional carelessness with euphony, register, and repetitions."
https://lccn.loc.gov/bi92013159,"Ribeiro, João Ubaldo ",Bahía,An invincible memory ,Translated by the author.,New York,HarperCollins ,1989,"This revisionist historical novel of Bahia, originally published in 1984, is reminiscent of (and much praised by) Jorge Amado. Its English publication provides an excellent occasion for a study of translation itself, so rare is it for an author to act as his own translator, let alone do it with such a superb sense of English, at once exceedingly faithful to his original and yet innovative."
https://lccn.loc.gov/bi89009230,"Torres, Antônio ",Bahía,Blues for a lost childhood :a novel of Brazil /,Antonio Torres,Columbia ,Readers International ,1989,
https://lccn.loc.gov/bi92013163,"Torres, Antônio ",Bahía,Blues for a lost childhood:a novel of Brazil ,Antonio Torres,Columbia ,Readers International ,1989,"Originally published in 1986, this novel, at once lyrical and political, moves between the materially impoverished Northeast and the morally impoverished urban South. Text reads well in English, but is rather loosely translated from the Portuguese. Translator has added ""color,"" as if he considered the Portuguese too monotonous, and has utilized a register at times too formal, other times too colloquial."
https://lccn.loc.gov/bi92013151,"Azevedo, Aluísio ",Maranhão,Mulatto ,Murray Graeme MacNicoll,Rutherford,Fairleigh Dickinson Univ. Press;;Associated University Presses ,1990,"Azevedo's controversial 1881 exposé of his native São Luis do Maranhão in the years before the abolition of slavery. Considered by many to be the first naturalist novel produced in Brazil, it is an intense expression of the abolitionism, anticlericalism, and republicanism sweeping through Brazil in the 1870s. With translator's notes."
https://lccn.loc.gov/bi92013154,"Fonseca, Rubem ",Minas Gerais,Bufo & Spallanzani ,Clifford E. Landers,New York,Dutton ,1990,"Fonseca's complex and delightful 1985 novel: love story, mystery, black comedy, and metafiction in one. Superbly translated, it reads like an original work of fiction that is witty, full of verve, intriguing, all the while being rigorously accurate and faithful to the details, phrasing, style, and tone of the original."
https://lccn.loc.gov/bi92012966,"França Júnior, Oswaldo ",Minas Gerais,Beneath the waters ,Margaret A. Neves,New York,Ballantine Books ,1990,"Another minimalist fiction (originally published in 1987) by this author who died in 1989; it is an unbroken series of vignettes on the human costs of modernization, written in a stripped-down, bare-bones style. Translation is at times too literal, other times too free, in effect editing the original. In particular, errors that make no sense in English should have been caught."
https://lccn.loc.gov/bi92013160,"Scliar, Moacyr ",Río Grande del Sur,Max and the cats:a novel ,Eloah F. Giacomelli,New York,Ballantine Books ,1990,"Scliar's 1981 parable of Max on land and sea, in Germany and in Brazil, his adventures with felines marking the stages of his passage. The characteristic Scliar style - a detached tone, and straightforward narrative intermingling memories and dreams and fantastic and everyday events - is very successfully recreated."
https://lccn.loc.gov/bi2014001815,"Tavares, Zulmira Ribeiro ",São Paulo,Family heirlooms ,Daniel Hahn,"Green Bay, Wis. ",Frisch & Co. Electronic Books Inc. ,2014,"Upon its publication in Brazil in 1990, this short novel won the Prêmio Jabuti. With both humor and melancholy, the book tells the story of an elderly woman contemplating her past and present, ostensibly focusing on a valued heirloom, a ruby, to explore the tensions between appearance and reality, the social self presented to others in contrast with the interior private self of solitude and reflection. The translation is assured and fluent. [DP]"
https://lccn.loc.gov/bi94013775,Machado de Assis ,Río de Janeiro,Dom Casmurro ,Helen Caldwell,New York,Noonday Press ,1991,
https://lccn.loc.gov/bi93001199,"Miranda, Ana Maria ",Ceará,Bay of All Saints and every conceivable sin ,Giovanni Pontiero,New York,Viking ,1991,"Controversial historical/adventure story published in 1989 is set in Bahia in late 17th century, with Gregório de Matos as main character. Translation adequately reproduces original, which is written in a simple, at times plodding, style with very few subordinate clauses.  It is unclear why translator has chosen to delete entire phrases."
https://lccn.loc.gov/bi94013773,"Steen, Edla van ",Florianopolis,Village of the ghost bells:a novel ,David Sanderson George,Austin,University of Texas Press ,1991,"Presents excellent translation of fascinating and mysterious 1983 novel {Corações mordidos} (see {HLAS 48:6161}), about the failure of a community on outskirts of São Paulo. George has real flair for Van Steen's deceptively simple but in fact intricate and multifaceted narrative voice. He renders her evocative style with elegance and fidelity."
https://lccn.loc.gov/bi94013767,"Buarque, Chico ",Río de Janeiro,Turbulence:a novel ,Peter Bush,New York,Pantheon Books,1992,"This novel, a belated example of a {lcub}noveau roman{rcub} recalling Butor, Sarraute, and Robbe-Grillet (see item #bi 93011595#), explores obsessed and surreal consciousness of its first-person narrator. Bush's translation is uneven. Though much of translation is fluent and accurate, there are repeated instances of poor word choices that stand out in the English."
https://lccn.loc.gov/bi94013771,Machado de Assis ,Río de Janeiro,Dom Casmurro - Lord Taciturn ,R.L. Scott-Buccleuch,London,Peter Owen ,1992,"Nearly 40 years after Helen Caldwell's 1953 translation (see {lcub}HLAS 19:5303{rcub}) (reprinted New York: Noonday Press, 1991, with foreword by Elizabeth Hardwick, see item #bi 94013775#), this new version of Machado's masterpiece has appeared. Both translations are readable and graceful in parts, but each eliminates certain passages, simplifies the original, and introduces some awkward phrases (each version differently), which suggest that a volume incorporating the best of both translations would come closer to representing Machado."
https://lccn.loc.gov/bi93001200,Machado de Assis ,Río de Janeiro,Philosopher or dog?,Clotilde Wilson,New York,Noonday Press ,1992,"Work is reprint (unfortunately renamed) of the Machado classic {lcub}Quincas Borba,{rcub} first published in English in 1954."
https://lccn.loc.gov/bi93001202,"Piñon, Nélida ",Río de Janeiro,Caetana's sweet song ,Helen Lane,New York,Knopf ,1992,"Piñon's elegant and complex story of dreams and delusions in small town of Trindade (Rio de Janeiro: 1987) is rendered in an equally elegant English by Helen Lane, who in 1989 translated Piñon's {República dos sonhos} (see {HLAS 52:5043}). Extremely careful and subtle translation is faithful to tone, rhythms, and turns of phrase of original."
https://lccn.loc.gov/bi94013766,"Amado, Jorge ",Bahía,The war of the saints ,Gregory Rabassa,New York,Bantam Books ,1993,"Amado's latest vehicle is vintage Amado.  Work presents elaborate portrait of Bahia, with particularly detailed descriptions of region's Afro-Brazilian religious practices in the familiar (at times overly familiar) style and tone that both Amado and his able translator Gregory Rabassa can effortlessly produce.  Includes lengthy glossary of Afro-Brazilian terms."
https://lccn.loc.gov/bi94013769,"Coelho, Paulo ",Río de Janeiro,The alchemist ,Alan R. Clarke,San Francisco ,HarperCollins ,1993,"Fable of a boy in search of his destiny, drawing on myth and folklore and inspirational prose reminiscent of {lcub}Jonathan Livingston Seagull,{rcub} has sold over half a million copies in Brazil since its 1988 publication. Competently translated; the belabored simplicity of the original has led the translator to some pruning."
https://lccn.loc.gov/bi94005422,"Galvão, Patrícia",São Paulo,Parque industrial:romance proletário = Industrial park: a proletarian novel ,Elizabeth and Kenneth David Jackson,Lincoln ,Univ. of Nebraska Press ,1993,"""Pagu's"" famous (and then forgotten) modernist novel, at once Marxist and feminist, was first published in 1933 (when she was 22 years old) under the pseudonym Mara Lobo. Fascinating work was challenge to translators, who have produced a very readable and evocative text and followed it with an excellent essay."
https://lccn.loc.gov/bi94013765,"Alencar, José Martiniano de ",Ceará,Senhora:profile of a woman ,Catarina Feldmann Edinger,Austin,University of Texas Press ,1994,"Alencar's important novel (Rio de Janeiro: 1875) - half critique and exposé, half endorsement of intricate interplay of money and gender in 19th-century Carioca life - is at last available in English. Edinger's competent and fluent translation largely succeeds in capturing flavor and tone of original."
https://lccn.loc.gov/bi96014458,"Felinto, Marilene ",Pernambuco,The women of Tijucopapo ,Irene Matthews,Lincoln ,Univ. of Nebraska Press ,1994,"Matthews' illuminating commentary on the problems of translating {lcub}As mulheres de Tijucopapo{rcub} (see {lcub}HLAS 50:3930{rcub}), author's first novel, precedes the text, and an insightful short essay follows it. Translation succeeds in capturing the raw, often awkward, always striking tone of the novel, which is part Bildungsroman, part stream-of-consciousness meditation. [DP]"
https://lccn.loc.gov/bi96014513,"Hatoum, Milton ",Manaos,The tree of the seventh heaven ,Ellen Watson,New York,Atheneum;;Maxwell Macmillan Canada;;Maxwell Macmillan International ,1994,"Hatoum's prize-winning 1989 novel, originally titled {Relato de um certo oriente} (São Paulo: Companhia das Letras, 1989), is a lyrical story of a family of Lebanese immigrants in Manaus, told by multiple narrators. Watson's eloquent translation is faithful to the mood and tone of the original. A fascinating work, evocative and multilayered, beautifully rendered in English. [DP]"
https://lccn.loc.gov/bi97004321,"Luft, Lya Fett ",Río Grande del Sur,The red house ,Giovanni Pontiero,Manchester ,Carcanet Press ,1994,"Luft's novel {Exílio} (see {HLAS 52:4552}), a haunting and surrealist exploration by an unidentified woman narrator, is movingly translated by the late Giovanni Pontiero. Luft's prose - incisive, poetic, and cruel - is compellingly recreated by Pontiero, whose English version is faithful to the evocative hues and rhythms of the original. [DP]"
https://lccn.loc.gov/bi96014530,"Ribeiro, Edgard Telles ",São Paulo,I would have loved him if I had not killed him ,Margaret A. Neves,New York,St. Martin's Press ,1994,"{O criado-mudo} (São Paulo: Editora Brasiliense, 1991) is a fascinating, multi-layered novel of past and present, of love and revenge. Neves' translation, sensationally retitled, reads beautifully; but in fact she has taken some surprising editorial liberties with the original, omitting phrases and passages and adding explanations. [DP]"
https://lccn.loc.gov/bi96014536,"Ribeiro, João Ubaldo ",Bahía,The lizard's smile ,Clifford E. Landers,New York,Atheneum;;Maxwell Macmillan Canada;;Maxwell Macmillan International ,1994,"A very fluent, readable, and faithful translation of {O sorriso do lagarto} (Rio de Janeiro: Editora Nova Fronteira, 1989), a funny, clever, and sexy novel. Ribeiro's reputation abroad is growing, not surprisingly given the exuberance and inventiveness of his prose, ably captured by Landers, a talented translator. [DP]"
https://lccn.loc.gov/bi96014541,"Santiago, Silviano ",Minas Gerais,Stella Manhattan ,George Yúdice,"Durham, N.C. ",Duke Univ. Press ,1994,"A readable but at times careless English rendition of Santiago's melodramatic novel {Stella Manhattan} (Rio de Janeiro: Editora Nova Fronteira, 1985), which treats gay life and political passions in New York's community of Brazilian exiles during the dictatorship. The special characteristics of the Portuguese (e.g., subject-less verbs, which better capture the sexual ambiguity of the novel's title character) are valiantly dealt with in the English. [DP]"
https://lccn.loc.gov/bi96014521,"Lins, Osman ",Pernambuco,The queen of the prisons of Greece ,Adria Frizzi,Normal,Dalkey Archive Press ,1995,"This translation of {A rainha dos cárceres da Grécia} (see {HLAS 40:7416}), Lins' last novel, published two years before his death, is the second work by Lins that translator Adria Frizzi brought out in 1995. A complex and difficult novel written in a postmodernist spirit, reminiscent of Nabokov's {Pale fire} in its untiring self-reflexivity, work is excellently translated in Frizzi's inventive yet faithful rendition. [DP]"
https://lccn.loc.gov/bi00005227,"Coelho, Paulo ",Río de Janeiro,By the River Piedra I sat down and wept ,Alan R. Clarke,San Francisco ,HarperCollins ,1996,"The story of a young Spanish woman, Pilar, and her encounter with her lost love, an unnamed spiritual seeker who comes to worship the feminine face of God. Clarke's translation is, as usual, somewhat hurried and condensed as if he's impatient with Coelho's admittedly belabored and self-consciously poetical style. [DP]"
https://lccn.loc.gov/bi97002924,"Steen, Edla van ",Florianopolis,Early mourning ,David Sanderson George,Pittsburgh,Latin American Literary Review Press ,1996,"Prize-winning novel written as a multilayered series of 21 brief chapters depicting São Paulo life from dusk to dawn one September. Beautifully translated and brilliantly titled, with great fidelity to terse and compelling tone of original, {Madrugada} (1992). [DP]"
https://lccn.loc.gov/bi99007656,"Buarque, Chico ",Río de Janeiro,Benjamin ,Clifford E. Landers,London,Bloomsbury,1997,"Buarque's second novel is the disturbing tale of an exmodel who, in the seconds before dying, relives his life as if it were a film.  A tale of obsession and urban chaos, expertly and lovingly translated, with great attention to the dense descriptive passages of the original. [DP]"
https://lccn.loc.gov/bi97014920,Machado de Assis ,Río de Janeiro,Dom Casmurro ,John Gledson,New York,Oxford Univ. Press ,1997,"At last, a new translation of Machado's masterpiece that is complete (unlike Scott-Buccleuch's 1992 version - see {HLAS 54:5078} - which omitted key chapters) and highly readable. Gledson produces a much-needed, graceful and accurate translation, attentive to Machado's tone and rhythms. Hansen's Afterword is excellent. [DP]"
https://lccn.loc.gov/bi00005753,Machado de Assis ,Río de Janeiro,Epitaph of a small winner ,William L. Grossman,London,Bloomsbury,1997,Reprint of Grossman's 1952 translation (see {HLAS 18:2767}) of {Memórias póstumas de Brás Cubas.} De Bernières' useful though brief introduction to this edition somewhat compensates for Grossman's very outdated translator's introduction. [DP]
