Link to HLAS Catalog,Author,Country of Origin,English Title,Translator,City where book was published,Name of Publisher,Year book was published,Annotations about translation
https://lccn.loc.gov/bi78107896,"Galindo, Sergio ",Mexico,The precipice: El bordo ,John and Carolyn Brushwood,Austin,University of Texas Press ,1969,"Family saga by writer often eclipsed by his countryman Carlos Fuentes. Brushwood (critic and co-translator) has pointed out that although the novel is specifically Mexican, the main thrust is on character, not local color. Good translation by the Brushwood team."
https://lccn.loc.gov/bi78107902,"Mujica Láinez, Manuel ",Argentina,Bomarzo:a novel ,Gregory Rabassa,New York,Simon and Schuster ,1969,"Not a ""Spanish American novel,"" but an historical novel by a Spanish American (Argentine) author. The novel is set in 16th-century Italy, its protagonist, Pier Francesco Orsini, Duke of Bomarzo. First person narrative, very rich in description. Good Rabassa."
https://lccn.loc.gov/bi78107889,"Carpentier, Alejo ",Cuba,War of time ,Frances Partridge ,New York,Alfred A. Knopf ,1970,"Alan Cheuse has called the ""High Road of St. James,"" one of the five stories contained here, a brilliant short novel. The collection as a whole enjoyed a rather good critical reception. ""Manhunt,"" from the Spanish edition, has not been included. Competent translation."
https://lccn.loc.gov/bi78107898,"García Márquez, Gabriel ",Colombia,One hundred years of solitude ,Gregory Rabassa,New York,Harper & Row ,1970,"Without question, the single most important translation of {Cien años de soledad} of the decade. The influence and wide recognition of this novel is without parallel. ""With a single bound,"" as John Leonard said, García Márquez is an established figure to English language readers and critics. Probably Rabassa's best translation."
https://lccn.loc.gov/bi78107886,"Cabrera Infante, Guillermo ",Cuba,Three trapped tigers ,Donald Gardner and Suzanne Jill Levine,New York,Harper & Row ,1971,"A gallery of voices, Cabrera Infante has said of his novel, written in a Cuban he expected no one other than the residents of a few square blocks in Havana to be able to understand. The translation is one of the most interesting of the decade. In collaboration with the author, Gardner and Levine have re-written {lcub}TTT{rcub}. It was the only way; nothing else would have approached the text, which is 50 percent word play, game, and linguistic satire. The result is very effective. The most noticeable lapses occur in monologues in which the tone is not completely established."
https://lccn.loc.gov/bi78107904,"Puig, Manuel ",Argentina,Betrayed by Rita Hayworth ,Suzanne Jill Levine,New York,E.P. Dutton ,1971,"Puig has said he never wanted to write, he had planned a career in film; and {Betrayed by Rita Hayworth}, he says, was simply the account of his personal limitations. He is too modest, this novel of provincial Argentine life is real to a generation who grew up with Hollywood heroes. Good translation."
https://lccn.loc.gov/bi78107890,"Cortázar, Julio ",Argentina,"62, a model kit",Gregory Rabassa,New York,Pantheon Books ,1972,"Continuation of {Hopscotch} in more ways than the fact it evolves from chapter 62 of that novel, {The model kit}, as Cortázar states ""is the book he (the reader) has chosen to read."" Excellent translation."
https://lccn.loc.gov/bi78107885,"Benítez, Fernando ",Mexico,Poisoned water : Agua envenenada ,Mary E  Ellsworth ,Carbondale,Southern Illinois University Press ,1973,"One more in what is one of Latin America's most persistent sub-genres, the novel of the political boss. Supposedly based on real events. Author, a professional journalist and author of many non-fiction books on all aspects of Mexican life, narrates from the point of view of a parish priest. Translation is occasionally stiff."
https://lccn.loc.gov/bi78107892,"Donoso, José ",Chile,The obscene bird of night ,Hardie St  Martin and Leonard Mades ,New York,Alfred A. Knopf ,1973,"A major novel by Chile's principal novelist in a translabon called ""brilliant and savage"" (The New Yorker). As in so many contemporary Latin American novels, a virtuoso performance is demanded on the part of the translator (here, translators). St. Martin and Mades won the PEN prize for translation (1974) for their fine work."
https://lccn.loc.gov/bi78107900,"Lezama Lima, José ",Cuba,Paradiso ,Gregory Rabassa,New York,Farrar  Straus  and Giroux ,1974,"There will of course not be another novel from Lezama Lima, and this stands as his master work. Baroquest of the baroque, the autobiographical overtones of the work (undoubtedly, its intricacy as well) have brought inevitable comparisons to Joyce and Proust. This denseness presents real difficulty to translation, which may explain why this is not the best of Rabassa's efforts."
https://lccn.loc.gov/bi78107882,"Asturias, Miguel Angel ",Guatemala,Men of maize ,Gerald Martin ,New York,Delacorte Press/Seymour Lawrence ,1975,"This is - as aficionados of magical realism are aware - Asturias at his most mythic - and most difficult. The puns and orthographic devices, the highly local vocabulary, all pose serious problems. The translation really doesn't capture the original. Contains a helpful glossary."
https://lccn.loc.gov/bi78107906,"Puig, Manuel ",Argentina,Heartbreak tango:a serial ,Suzanne Jill Levine,New York,E.P. Dutton ,1975,Puig is one of contemporary literature's great satirists; the soap opera and Saturday matinee raised to the level of moving literature. And he is one of the few who is funny. Humor is not a constant in the literature of contemporary Latin America.
https://lccn.loc.gov/bi78107908,"Vargas Llosa, Mario ",Peru,Conversation in the cathedral ,Gregory Rabassa,New York,Harper & Row ,1975,"Vargas Llosa's most complex novel stylistically, this barroom ""conversation"" is the now time-worn cliché of contemporary Latin American literature, both politically and novelistically. Rabassa does occasionally make mistakes, but one must look for them carefully. More important is the whole, and that, as usual, is excellent."
https://lccn.loc.gov/bi78107888,"Carpentier, Alejo ",Cuba,Reasons of state ,Frances Partridge ,New York,Alfred A. Knopf ,1976,"The novel of the caudillo is alive and well, universalized, at the same time it is Americanized, here by Carpentier. Erudite, baroque, self-parodying, encompassing - as seen in the epilogue: ""... the Earth is all one and that the earth of the Earth is earth of the Earth everywhere."" Fine translation (could anything be done with El recurso del método?)."
https://lccn.loc.gov/bi78107895,"Fuentes, Carlos ",Mexico,Terra nostra ,Margaret Sayers Peden ,New York,Farrar  Straus  and Giroux ,1976,
https://lccn.loc.gov/bi78107897,"García Márquez, Gabriel ",Colombia,The autumn of the patriarch ,Gregory Rabassa,New York,Harper & Row ,1976,"A major novel, of course. And the second major Rabassa (García Márquez) translation of the decade (a large section was published in {The New Yorker} prior to book publication). An almost uninterrupted flow from first to final page, Rabassa recreates ""the time of eternity"" of the original. Deserving recipient of the 1977 PEN translation prize."
https://lccn.loc.gov/bi78107899,"Goldemberg, Isaac ",Peru,The fragmented life of Don Jacobo Lerner ,Robert S  Picciotto ,New York,Persea Books ,1976,"Echoing the title, fragrnented technique of narrating fragmented lives; the theme is that of the Diaspora. The author is Peruvian, and novel follows flight of Russian Jew to a new life in Peru. Skillful translation."
https://lccn.loc.gov/bi78107901,"López Portillo y Pacheco, José ",Mexico,Quetzalcoátl ,Eliot Weinberger & Diana Sorensen Goodrich ,New York,Seabury Press ,1976,"This novel by the President of Mexico is a fictionalized version of the Quetzalcoátl (Plumed Serpent) legend. In an author's note, López Portillo states that he deals ""with a human figure of mysterious character and... the philosophical principle with which he is identified in the Indian theogony."" Good translation; captures satisfactorily the difficult mythical tone."
https://lccn.loc.gov/bi78107903,"Onetti, Juan Carlos ",Uruguay,A brief life ,Hortense Carpentier ,New York,Grossman Publishers ,1976,"A work years ahead of its time, {A brief life} was variously received by English reviewers as ""a work of insurmountable obscurity,"" ""a remarkable novel,"" and a ""virtuosic"" performance. The Brausen, Díaz Grey, Arce persona and labyrinthine interior passages all make it a milestone on the way to the contemporary Spanish American novel. Fortunately, the translation is not bad, but it is not of the level of the original."
https://lccn.loc.gov/bi78107905,"Puig, Manuel ",Argentina,The Buenos Aires affair:a detective novel ,Suzanne Jill Levine,New York,E.P. Dutton ,1976,"Third of Puig's novels, {lcub}The Buenos Aires affair{rcub} continues his experimentation with form and his self-confessed love affair with movies. Perhaps the darkest of his four novels. Levine is a first-rate translator."
https://lccn.loc.gov/bi80106625,"Arreola, Juan José",Mexico,The fair ,John Upton ,Austin,University of Texas Press ,1977,"Edith Grossman calls this novel a ""collage composed of many voices;"" the translator calls it ""a gallery of voices,"" (a phrase often used to describe Cabrera Infante's {TTT}); John Brushwood, a portrait of a town and a ""kind of autobiography."" As a major portion of the novel is in dialogue, what Grossman calls the translator's extreme sensitivity to language is particularly welcome. Bradley Shaw finds the notes very helpful; this reader would prefer a different solution, but, unfortunately, cannot suggest one. The glossary is, without doubt, valuable. The convention for dividing the fragments of the novel is less effective in this edition than in the original."
https://lccn.loc.gov/bi78107893,"Donoso, José ",Chile,Sacred families:three novelas ,Andrée Conrad ,New York,Alfred A. Knopf ,1977,"One of three translations of Donoso works in 1977, these three novellas portray the emptiness of bour- geois life - a fact made more evident by the original title: Tres novelitas burgesas. Good Donoso, good translation."
https://lccn.loc.gov/bi80106633,"Scorza, Manuel ",Peru,Drums for Rancas ,Edith Grossman,New York,Harper & Row ,1977,"These 34 18th-century titled chapters (""Concerning the Pyramid of Sheep which the People of Rancas Built Without Wishing to Emulate the Egyptians"") comprise what Patricia Tobin calls, with justification, the first in a series of novels which form a ""searing chronicle of injustice."" This most recent - and perhaps most realistic - of a series of Peruvian Indianist novels is a powerful and, if the introduction is to be taken literally, completely true representation of events that are ""but pale reflections of reality."" With very few exceptions, this is also a very true translation."
https://lccn.loc.gov/bi80106624,"Arguedas, José María",Peru,Deep rivers ,Frances Horning Barraclough,Austin,University of Texas Press ,1978,"This translation of {Los rios profundos} was awarded the 1978 Columbia Translation Center Award, and with good reason. Arguedas was one of those writers, like Asturias, like Aguilera Malta, who invented a language that was neither Spanish nor Indian. In his informative introduction, ethnohistorian Murra sketches some of the intricacies of this creation. And adds, parenthetically in a footnote, that ""no one has yet undertaken to translate Arguedas into Spanish."" Vargas Llosa's afterword offers to the reader who may not be familiar with Arguedas an illuminating discussion of the author's world: ""One could say of a novel so cleverly autobiographical that Arguedas has transplanted his own trials into the narrative in a symbolic fashion."" Most of the problems of translation have been ingeniously solved. One wishes it were possible to eliminate the footnotes, but as the translator's are mingled with those of the author himself, perhaps in this instance they are not as intrusive as usual."
https://lccn.loc.gov/bi80106629,"Cortázar, Julio ",Argentina,A manual for Manuel ,Gregory Rabassa,New York,Pantheon Books ,1978,"In the opening pages the author - truthfully? fictionally? - tells the reader that ""This man is dreaming something I had dreamed in a like manner during the days when I was just beginning to write..."" The dream is crucial, if ultimately unresolved as to meaning. Difficult, disturbing, {Manuel}... is Cortazar's most ""novelistic"" work since {Hopscotch}, and if not an invitation to skip about the squares of that game, certainly a challenge demanding participation in a different one. This is one of Rabassa's finest translations - which is saying a lot. The Spanish Postdata to the first two pages is changed in the translation to an explanatory note for American (North American?) readers."
https://lccn.loc.gov/bi80106631,"Fuentes, Carlos ",Mexico,The hydra head ,Margaret Sayers Peden ,New York,Farrar  Straus  and Giroux ,1978,
https://lccn.loc.gov/bi80106632,"Ortega, Julio ",Peru,The land in the day ,Julio Ortega and Ewing Campbell ,Austin,New Latin Quarter Editions ,1978,"A student of utopian literature, the author suggests as a convention for his own utopian fiction an origin that departs ""from itself"" as well as from ""its tradition."" This impressionistic, experimental, and epigrammatic fiction is preceded by a Borgesian preface whose interplay with the primary text places the work squarely within the confines of the newest writing. The translation is perhaps evidence that authors are too close to the original to achieve the most utopian translations of their own works."
https://lccn.loc.gov/bi80106634,"Vargas Llosa, Mario ",Peru,Captain Pantoja and the special service ,Gregory Kolovakos and Ronald Christ ,New York,Harper & Row ,1978,"The {lcub}New York Times{rcub} called this an ""uproariously slapstick novel."" Vargas Llosa has acknowledged that this is the first time he employed humor in his work, but that after trying to write a more ""serious"" novel, this material demanded comic treatment. The style is no less complex, however, than in the similarly constructed {lcub}The green house{rcub}. The desire to create simultaneity of time among several plot lines is the hallmark of the author's work, and especially notable here. Excellent translation."
https://lccn.loc.gov/bi80106623,"Aguilera Malta, Demetrio",Ecuador,Seven serpents and seven moons ,Gregory Rabassa,Austin,University of Texas Press ,1979,"John S. Brushwood points out that the author, like Agustín Yáñez, is fond of the unforgettable, extraordinary character. True. Very few contemporary novels feature a wooden, crucified Christ who descends from its cross to participate in the everyday affairs of a village. To deal with the regionalisms, word play, and mythic language of this underrated author, Rabassa has had to ""invent"" a new language which absorbs the Spanish into the English. Very successful."
https://lccn.loc.gov/bi80106626,"Azuela, Mariano ",Mexico,Three novels ,Frances Kellam Hendricks and Beatrice Berler ,San Antonio ,Trinity University Press ,1979,"This translation of three major novels ({Literature: Translations from Spanish, Novels of Mariano Azuela}) is an admirable project. {The Underdogs}, one of the truly great novels of Latin American literature, is due a new translation (it appeared earlier, in 1962, in a New American Library edition). In some respects there are improvements (we are not, for example, submitted to the apellation ""Blondie"" for the Güero Margarito), but some of the very specific and difficult problems of this text have not been resolved. The two remaining novels, {The trials of a respectable family} and {The firefly}, have fewer problems and are more comfortable in these English versions than {The underdogs}. Introduction by Hendricks. Also includes excerpts from Luis Leal's Mariano {Azuela: life and works}."
https://lccn.loc.gov/bi80106627,"Carpentier, Alejo ",Cuba,Explosion in a cathedral ,John Sturrock ,New York,Harper & Row ,1979,"Baroque, magically real, Explosion... has been called Carpentier's best novel, and Victor Hughes one of his best delineated characters. The Spanish title more closely relates to the historical epoch, the Age of Enlightenment; the English refers to a symbolic painting in the home of the protagonist. Sturrock quite reasonably reproduced Carpentier's style. A reissue of his 1963 translation."
https://lccn.loc.gov/bi82106313,"Díaz Valcárcel, Emilio ",Puerto Rico,Schemes in the month of March ,Nancy A Sebastiani ,New York,Bilingual Press/Editorial Bilingüe ,1979,"Interesting novel in ""novela álbum"" style. Julio Marzán's perceptive review calls it a collage novel, a kind of ""postal picaresque."" Schemes... is a comic, yet brutal attack on negative influences of North American capitalist consumerism on a society whose economy does not afford the majority of its people a decent living, let alone the joys of conspicuous consumption. Protagonist is also victim of very problems he attacks - too cosmopolitan to revert to provincialism, and yet too aware of evils of his sophistication to profit from it. Novel's language is difficult, laced with puns and satire, often bilingual. Translation - though conceded to be difficult - does not do justice to the original, especially in dialogue. Exaggerated adherence to Spanish structure and rhetorical level, creates English effect not representative of Spanish text. Great sense of linguistic play is necessary for such a translation; unfortunately this difficult task is not achieved."
https://lccn.loc.gov/bi82106315,"Puig, Manuel ",Argentina,Kiss of the spider woman ,Thomas Colchie ,New York,Alfred A. Knopf ,1979,"Puig's fourth novel continues to explore possibilities of narrating without traditional novelistic narrative: dialogue, movie plots, essayistic footnotes, police blotters, are some narrative devices. Relies heavily on signs of various typefaces, so it is essential that they be carried over into the translation. This is effectively accomplished in the English version. Some footnotes have a different spatial arrangement, which is somewhat disorienting, but they are there. Colchie has a good ear for this very oral prose, and produces necessary contrast in official and semiofficial reports. It is - I guess one must finally accept it - impossible to convey the voseo of Puig's Argentine voices."
https://lccn.loc.gov/bi2019004029,"Segovia, Sofia",Mexico,A murmur of bees ,Simon Bruni,Oxford,Oxford Illustrated Press ,1980,"Many contemporary Latin American writers have written against the dominant tradition of magical realism, exploring instead gritty realism, neo-Gothic horror, graphic novels, and even science fiction for new frontiers of literary invention. Segovia (b. 1965, Mexico), on the other hand, fully embraces the rich literary possibilities of magical realism, as well as the lush sensuality and intergenerational sagas that Isabel Allende and García Márquez made so prominent in Latin American fiction. Set against the backdrop of the 1910 Revolution, the saga follows Simonopio Morales, found as an abandoned infant under a bridge, ""without a mouth"" and adopted by the wealthy Morales family. Readers follow the fey protagonist, flanked by bees, through the succeeding decades, including the land reform of the Mexican Revolution and the Spanish Flu epidemic. This novel was called the literary discovery of the year by Penguin Random House and named Novel of the Year by iTunes. Segovia has also published {Huracán} and {Peregrinos}. Simon Bruni is the winner of three John Dryden Awards for his translations. [JMP]"
https://lccn.loc.gov/bi82106312,"Aguilera Malta, Demetrio",Ecuador,Don Goyo ,John and Carolyn Brushwood,Clifton,The Humana Press ,1980,"John Brushwood describes this novel elsewhere as counterpoint between character of title (both legend and man) and realistic character, Cusumbo, who demonstrates the cholo's unhappy plight, forced by ""progress"" to abandon old ways of his people. In addition to Seven moons and seven serpents, book confirms Aguilera-Malta's primacy in genre of magical realism. Published in Spanish in 1933, novel offers very interesting evidence of the emergence of a ""Latin American Novel,"" an authentic and original voice, prior to the ""Boom."" Brushwoods are to be credited for bringing this significant work into English."
https://lccn.loc.gov/bi84106471,"Alegría, Fernando",Chile,The Chilean spring ,Stephen Fredman ,Pittsburgh ,Latin American Literary Review Press ,1980,"Moving novel by leading voice of Chilean literature in exile, now in good English translation. Specifically political and Chilean work that will touch any ""who can compassionately identify with the victims of man's inhumanity to man"" (Kessel Schwartz). English version deserves broader critical notice than it received."
https://lccn.loc.gov/bi82106317,"Sánchez, Luis Rafael ",Puerto Rico,Macho Camacho's beat ,Gregory Rabassa,New York,Pantheon Books ,1980,"Jerome Charyn describes this novel as funny, mordant, an extended raucous song. Sánchez's stretching, warping, twisting, funny-house manipulation of language, depiction of a reality whose principal metaphor is found in the dance, music, and song of the guaracha, his outrageous puns, his down-and-out, on-the-way-up, never-were-or-will-be characters, all blend together to create a portrait of a city (San Juan) that inevitably recalls the Havana of Cabrera Infante's Tres tristes tigres. Rabassa - among few translators who would attempt such a translation, an expert at invention - has done wonders with novel's silly-putty prose, closely approximating original Spanish-not-Spanish in an analogous English-not-English."
https://lccn.loc.gov/bi82106316,"Sábato, Ernesto R ",Argentina,On heroes and tombs ,Helen Lane,Boston,David R. Godine ,1981,"Sábato enjoys a much greater vogue in Europe than in US. Translation brings him attention long overdue, as in Robert Coover's review: ""he stands apart from most of the writers of the 'Boom' - and for good reason;"" Jim Miller's review: ""a master of 'magical realism';"" Michael Wood's: ""shows us another face of Latin American writing."" Book is an expansion of El tunél's obsessions. Helen Lane offers another impeccable translation (inexplicably ignored in reviews). Sábato's text does not offer difficulties of other writers but his rhetorical level could easily sound false notes if not intelligently translated."
https://lccn.loc.gov/bi82106314,"Fuentes, Carlos ",Mexico,Distant relations ,Margaret Sayers Peden ,New York,Farrar  Straus  and Giroux ,1982,
https://lccn.loc.gov/bi86106564,"Urbanyi, Pablo ",Argentina,The nowhere idea ,Nigel Dennis ,Toronto,Williams-Wallace ,1982,"Spoof of (North American) academia by Argentine (b. Czechoslovakia), now an expatriate teaching Spanish at Ottawa University. Crisp translation."
https://lccn.loc.gov/bi84106482,"Vargas Llosa, Mario ",Peru,Aunt Julia and the scriptwriter ,Helen Lane,New York,Farrar  Straus  and Giroux ,1982,"""Admirable"" translation by Helen Lane of this semi-autobiographical novel. According to Julie Jones, Vargas Llosa ""justifies the incorporation of melodramatic material in serious literature by arguing that melodrama is real, is human."""
https://lccn.loc.gov/bi86106548,"Arenas, Reinaldo",Cuba,Farewell to the sea:a novel of Cuba ,Andrew Hurley,New York,Viking Press ,1985,"Arenas (b. 1943) is probably the most powerful and original of Latin America's ""post-boom"" writers. After Hallucinations (see HLAS 46:5270), his imaginary ""biography"" of a revolutionary Mexican priest, came out in 1970 in English, nothing was heard of him for 10 years. Imprisoned for ""improper conduct"" (a bureaucratic catchword in Fidel's Cuba), his manuscripts censored and confiscated, Arenas finally left his native country in the 1980 exodus. Farewell to the sea, the third novel in a five-volume series called ""Pentagonía,"" is a poetic statement, a symphony of monologues in which the story of a man and a woman and Cuba's collective history are intimately intertwined. Admirable translation effort by Andrew Hurley."
https://lccn.loc.gov/bi86106549,"Arguedas, José María",Peru,Yawar fiesta ,Frances Horning Barraclough,Austin,University of Texas Press ,1985,"Indigenist novel about racial, social, and cultural conflicts in Puquio, a small town in Peru. Includes essay by Arguedas, ""Puquio: A Culture in Process of Change,"" and the translator's glossary of both Quechua and Spanish terms. In this ""scholarly"" translation, the novel has greater value as anthropological treatise than as literary work."
https://lccn.loc.gov/bi86106550,"Azuela, Arturo ",Mexico,Shadows of silence:a novel ,Elena C  Murray ,Notre Dame,University of Notre Dame Press ,1985,"Study of the lives of a group of intellectuals in Mexico City during the 1960s-70s, focusing on the often frustrating interaction between public, political, and private issues. Azuela is the grandson of Mariano Azuela, author of The underdogs, a classic novel of the Mexican Revolution. It is interesting that both Azuelas came to political fiction writing via other occupations: Mariano Azuela, a doctor, and his grandson, a UNAM professor of mathematics and the history of science. The late 1960s turmoil, particularly the violent repression of student upheavals in 1968, motivated Arturo Azuela just as the Mexican Revolution had urged his grandfather to write."
https://lccn.loc.gov/bi86106551,"Borges, Jorge Luis",Argentina,Atlas ,Anthony Kerrigan ,New York,E.P. Dutton ,1985,"The last of Borges's books to appear in English before his death - and our great loss - recalls the Argentine fabulist's favorite, most heterogenous genre. Like Dreamtigers and A personal anthology, Atlas (translated lovingly by Borges's first English translator, Tony Kerrigan) is a miscellany, a ""personal geography"" created out of dreams, meditations, verse, and prose poems written in or about places recently visited, or fondly re-visited, haunted by the phantom of Buenos Aires. Such personal texts as ""Geneva"" - the city where Borges died on Friday, June 13, 1986 - may strike us now as the final words of a sage who has left us for another universe whose dimensions he mapped out in his ficciones and poems. (The photographs, recording Borges's and collaborator Maria Kodama's trajectory around the Old and New Worlds, are mysteriously uncredited)."
https://lccn.loc.gov/bi86106553,"Cabrera Infante, Guillermo ",Cuba,Three trapped tigers ,"Donald Gardner, Suzanne Jill Levine, and the author ",New York,Avon Books ,1985,"Paperback reissue of 1971 translation of Cabrera Infante's classic celebration of Havana and the Cuban language. At the time, reviewer David Gallagher wrote: ""a remarkable book... one of the most inventive novels that has come out of Latin America."""
https://lccn.loc.gov/bi86106554,"Costantini, Humberto ",Argentina,The long night of Francisco Sanctis ,Norman Thomas di Giovanni,New York,Harper & Row ,1985,"Humorous novel about Argentina's ""dirty war"" of the 1970s, centered around the ""Everyman"" figure of middle-class Francisco Sanctis. The translation reflects the stylistic difficulties - an unsuccessful juggling act between satire and solemnity - of the original."
https://lccn.loc.gov/bi89005993,"Di Masso, Gerardo ",Argentina,The shadow by the door ,Richard Jacques ,Totowa,Zed Books;;Biblio Distribution Center ,1985,"Jacques does well to call attention to {lcub}La penumbra{rcub}'s original title and his reasons for altering it. His apology for the ""loss"" should not mislead a reader, however, because this is a fine translation that skillfully conveys Di Masso's ""simple lyrical style"" (Lisa Valenzuela, {lcub}The New York Times Book Review{rcub}) and the horrors recounted in his novel. Translator's brief introduction effectively places the work, which occurs in an unnamed country."
https://lccn.loc.gov/bi86106555,"Fuentes, Carlos ",Mexico,The old gringo ,Margaret Sayers Peden ,New York,Farrar  Straus  and Giroux ,1985,"Intriguing tale: the imagined conclusion of the life of Ambrose Bierce, the North American journalist and sentimental story writer who disappeared in Mexico in search of Pancho Villa in 1914. Fuentes's play narrative artifice (i.e., juxtaposing symbolic and ""real life"" characters, dream sequences with ""documentary"" narration) strikes a self-conscious note, but his profound understanding of the history and myths of Mexico, particularly in its conflictive relations with the ""Colossus to the North,"" is convincingly crystallized in his compassionate portrayalof the ""old gringo."" Fuentes's intellectual projects often outweigh his artistic achievements: The old gringo is no exception: the translation, by Margaret Sayers Peden in close collaboration with the author who is fluent in English, reflects his often labored style."
https://lccn.loc.gov/bi89007945,"Gagini, Carlos ",Costa Rica,Redemptions:a Costa Rican novel ,E Bradford Burns,San Diego,San Diego State Univ. Press ,1985,"Burns wisely downplays the ""literary merit"" of this ""thesis novel"" ({El árbol enfermo}, 1918). As he suggests, however, Gagini's discussion of US intervention in early 20th-century Costa Rica may still hold interest for readers in English. Uneven translation: tone seems right, but word choice often is not. A bonus: Amighetti's line drawings."
https://lccn.loc.gov/bi89007946,"Galeano, Eduardo,",Uruguay,Memory of fire ,Cedric Belfrage ,New York,Pantheon Books ,1985-1988.,"Galeano defines himself as a ""writer,"" not a historian, but he does not identify the genre of his ""voice of voices."" No matter, Cedric Belfrage has realized an outstanding, appropriately ""polyphonic translation"" (Ronald Christ). Vol. 1 of the trilogy opens with indigenous myths and re-tells American history through the death of Charles II. Vol. 2 covers America's 18th and 19th centuries. The work should prove disquieting to readers in English who, in addition to discovering Galeano's revision of official history, may well confront their own unfamiliarity with Latin America's masks - not to mention its faces."
